Metric,Logistic Regression,Simplified Random Forest
Accuracy,0.7861129109796626,0.8181343143197541
Precision,0.4018983309975793,0.44399421128798844
Recall,0.8820075492800223,0.8578218929120649
F1-score,0.5521858999606144,0.5851332665808421
ROC-AUC,0.8778494635921242,0.9192057929006479
