Feature,Importance
absolute_magnitude,0.30751723132242964
estimated_diameter_max,0.3053435017863341
q,0.12868511789077375
i,0.06895868147289791
e,0.04635651685916654
per,0.0399162109581874
a,0.03517752947921926
class_APO,0.028009324476876665
miss_distance,0.01722134777395742
relative_velocity,0.015905918941818285
class_ATE,0.006299840030271481
class_IEO,0.0006043682694109103
class_MCA,4.410738656551286e-06
class_MBA,0.0
